external,linkonce,time
26000,20000,4303
26000,21000,4369
26000,22000,4396
26000,23000,4441
26000,24000,4394
26000,25000,4511
26000,26000,4609
26000,27000,4728
26000,28000,4784
26000,29000,4811
26000,30000,4847
26000,31000,4870
26000,32000,4929
26000,33000,4972
26000,34000,4983
26000,35000,5039
26000,36000,5016
26000,37000,5156
26000,38000,5163
26000,39000,5218
26000,40000,5436
26000,41000,5325
26000,42000,5237
26000,43000,5231
26000,44000,5322
26000,45000,5385
26000,46000,5456
26000,47000,5506
26000,48000,5511
26000,49000,5470
26000,50000,5648
27000,1000,3547
27000,2000,3587
27000,3000,3644
27000,4000,3702
27000,5000,3733
27000,6000,3790
27000,7000,3828
27000,8000,3864
27000,9000,3841
27000,10000,3973
27000,11000,3947
27000,12000,4033
27000,13000,4051
27000,14000,4112
27000,15000,4210
27000,16000,4213
27000,17000,4282
27000,18000,4371
27000,19000,4301
27000,20000,4405
27000,21000,4674
27000,22000,4674
27000,23000,4616
27000,24000,4749
27000,25000,4958
27000,26000,5002
27000,27000,4974
27000,28000,4846
27000,29000,4904
27000,30000,4942
27000,31000,5007
27000,32000,5051
27000,33000,5111
27000,34000,5139
27000,35000,5170
27000,36000,5170
27000,37000,5243
27000,38000,5134
27000,39000,5334
27000,40000,5241
27000,41000,5312
27000,42000,5481
27000,43000,5482
27000,44000,5410
27000,45000,5435
27000,46000,5597
27000,47000,5632
27000,48000,5639
27000,49000,5741
27000,50000,5874
28000,1000,3699
28000,2000,3742
28000,3000,3786
28000,4000,3843
28000,5000,3898
28000,6000,3931
28000,7000,3987
28000,8000,4026
28000,9000,4083
28000,10000,4095
28000,11000,4132
28000,12000,4197
28000,13000,4251
28000,14000,4309
28000,15000,4333
28000,16000,4377
28000,17000,4434
28000,18000,4460
28000,19000,4507
28000,20000,4549
28000,21000,4612
28000,22000,4594
28000,23000,4647
28000,24000,4702
28000,25000,4832
28000,26000,4855
28000,27000,4879
28000,28000,4933
28000,29000,4937
28000,30000,5032
28000,31000,5149
28000,32000,5180
28000,33000,5223
28000,34000,5266
28000,35000,5303
28000,36000,5370
28000,37000,5328
28000,38000,5410
28000,39000,5470
28000,40000,5489
28000,41000,5541
28000,42000,5539
28000,43000,5617
28000,44000,5689
28000,45000,5601
28000,46000,5642
28000,47000,5803
28000,48000,5808
28000,49000,5869
28000,50000,5981
29000,1000,3764
29000,2000,3787
29000,3000,3906
29000,4000,3942
29000,5000,3962
29000,6000,4066
29000,7000,4120
29000,8000,4137
29000,9000,4209
29000,10000,4222
29000,11000,4306
29000,12000,4326
29000,13000,4382
29000,14000,4420
29000,15000,4496
29000,16000,4442
29000,17000,4524
29000,18000,4595
29000,19000,4672
29000,20000,4672
29000,21000,4700
29000,22000,4795
29000,23000,4884
29000,24000,4886
29000,25000,5045
29000,26000,5057
29000,27000,4992
29000,28000,5060
29000,29000,5086
29000,30000,5143
29000,31000,5206
29000,32000,5224
29000,33000,5314
29000,34000,5291
29000,35000,5438
29000,36000,5501
29000,37000,5554
29000,38000,5517
29000,39000,5500
29000,40000,5564
29000,41000,5643
29000,42000,5719
29000,43000,5760
29000,44000,5794
29000,45000,5748
29000,46000,5892
29000,47000,5914
29000,48000,5945
29000,49000,6023
29000,50000,6118
30000,1000,3941
30000,2000,4026
30000,3000,4150
30000,4000,4128
30000,5000,4265
30000,6000,4274
30000,7000,4238
30000,8000,4238
30000,9000,4305
30000,10000,4365
30000,11000,4418
30000,12000,4448
30000,13000,4512
30000,14000,4568
30000,15000,4603
30000,16000,4688
30000,17000,4671
30000,18000,4693
30000,19000,4780
30000,20000,4737
30000,21000,4757
30000,22000,4896
30000,23000,4969
30000,24000,5040
30000,25000,5156
30000,26000,5188
30000,27000,5188
30000,28000,5274
30000,29000,5215
30000,30000,5331
30000,31000,5423
30000,32000,5518
30000,33000,5465
30000,34000,5512
30000,35000,5460
30000,36000,5488
30000,37000,5618
30000,38000,5740
30000,39000,5913
30000,40000,5939
30000,41000,5860
30000,42000,5883
30000,43000,6000
30000,44000,6008
30000,45000,6058
30000,46000,6117
30000,47000,6146
30000,48000,6161
30000,49000,6204
30000,50000,6271
31000,1000,4064
31000,2000,4174
31000,3000,4152
31000,4000,4224
31000,5000,4259
31000,6000,4295
31000,7000,4360
31000,8000,4389
31000,9000,4457
31000,10000,4488
31000,11000,4545
31000,12000,4580
31000,13000,4683
31000,14000,4606
31000,15000,4630
31000,16000,4798
31000,17000,4799
31000,18000,4866
31000,19000,4827
31000,20000,4944
31000,21000,5090
31000,22000,5186
31000,23000,5139
31000,24000,5117
31000,25000,5181
31000,26000,5330
31000,27000,5334
31000,28000,5305
31000,29000,5490
31000,30000,5518
31000,31000,5635
31000,32000,5562
31000,33000,5623
31000,34000,5660
31000,35000,5738
31000,36000,5728
31000,37000,5788
31000,38000,5856
31000,39000,5770
31000,40000,5798
31000,41000,5875
31000,42000,5972
31000,43000,6050
31000,44000,6047
31000,45000,6058
31000,46000,6195
31000,47000,6211
31000,48000,6218
31000,49000,6266
31000,50000,6418
32000,1000,4343
32000,2000,4401
32000,3000,4421
32000,4000,4496
32000,5000,4508
32000,6000,4585
32000,7000,4529
32000,8000,4710
32000,9000,4699
